"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1946Q4,1947Q1,1947Q2,1947Q3,1947Q4,1948Q1,1948Q2,1948Q3,1948Q4,1949Q1,1949Q2,1949Q3,1949Q4,1950Q1,1950Q2,1950Q3,1950Q4,1951Q1,1951Q2,1951Q3,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
"Domestic nonfinancial sectors; debt securities and loans; liability","Percent","1","NA",Z1/Z1/FG384104005.Q,FG384104005.Q,-2.622005550479282,ND,ND,ND,3.698352153132304,ND,ND,ND,3.486269397367425,ND,ND,ND,4.153933680104031,ND,ND,ND,7.002936639849344,ND,ND,ND,5.584226480590607,8.062254659314601,8.597166099262129,7.133088685285546,6.999432378723862,7.031589995648056,6.402775703163285,8.266923747119446,3.214233220309533,3.703310270738297,4.678967632390943,5.226311558834527,7.293385797554823,5.931974394300372,7.937915015200134,6.841342233507299,7.776939704358429,5.173257756605574,3.541899299507953,4.603504216913995,5.413824357405404,6.033915061679908,2.864972793265088,5.956287003252933,3.233594532958998,4.745542708427744,6.343788350580640,3.990020618491772,9.425129755914286,6.799541244579695,8.651788752944189,7.943205647185753,6.548700742171230,4.329323914380874,5.727973047466344,4.592722763468433,5.161892111927364,4.087592223598470,5.796885125466240,6.981505480307741,7.274379924668768,5.893385206113143,6.854017989500970,5.498633481155308,8.347288403813636,6.149935773695471,7.584240022425227,5.423150425499811,7.846191684159851,6.054842341592106,7.245080525352833,7.034109117591289,7.703943320784816,6.870205282541919,6.941602893565229,5.659080613391599,8.299570312760288,7.370734839605600,7.424435614983947,4.879153466174666,6.150222822317817,6.025302589112687,4.513323417393964,7.947110557258980,12.666345131591511,4.644507738607051,7.966200175971578,8.174657584437536,8.659475969571192,6.607529728573012,5.634570105107647,7.042575195743011,7.391373400510465,4.810914821095683,6.850965562913667,7.474140308732595,7.387008039628712,7.372384942976312,10.586690641243020,9.692690863669814,9.790122201142166,8.948076668142400,9.415781308439223,9.262892435302520,12.081035136817100,12.228424304023060,9.991919650700163,9.529097582774600,8.654063558044260,8.581273137771614,10.356293201015079,9.115643927806667,7.568402165053502,7.010839028771909,9.052417556691834,9.006060959329194,10.193666132673579,10.557177925955550,11.159199636026250,10.080754966941569,10.174230841557041,11.263124650929790,11.242020855015539,13.623838036992209,12.716923029843031,13.240339410459869,13.733575968457099,13.456133072127450,12.202602816847669,10.853199212398801,12.000709072754370,13.130998772212489,10.288381049997451,9.918497213314875,7.231140437752972,8.919367439527555,11.007823948208911,9.338799803479365,10.863318115311790,9.353053825010187,9.857082746447279,9.446070052113702,8.897472951700815,11.051396273615870,9.838769312643231,10.916901435451191,12.651464301239930,12.211655097193770,10.634851966912731,14.782681256207219,14.419712783665039,13.659031552825891,13.251407007571080,15.130003264124610,13.562199408076490,12.811171109105469,19.251620201722041,9.372540721235726,12.588129682344119,11.934316439272679,12.126855039658921,7.615446769318850,10.088493790011050,8.793315947073378,8.700600231109409,9.002497734617403,9.129073852734653,9.026442334881930,8.528790901711327,6.996275939482585,7.714292978811045,6.679797484775622,7.794461950162865,7.786114936486197,6.363356945400772,5.698754089758813,5.712907784346864,3.940949644214716,5.054284885463005,4.386531276697719,5.258127759729582,4.823272689063193,4.219391655222493,5.414825155109614,3.840723436162782,4.334473349832999,6.582685124285064,6.199807557692893,5.494986465668006,4.592915614081019,5.427252882301858,5.263436333845723,5.382887472555430,4.809853719745467,7.047734328559063,4.500298703466409,2.984876030965046,6.288577937035715,6.235049113218063,4.703707950846906,3.543375402350039,5.259190795491847,5.567665399157653,6.816905875173958,5.008254997814370,7.037423661726742,8.472937177542967,5.359052337129138,6.685415695641144,7.159500955163897,5.719310600019469,6.800131035332202,6.241049437883288,6.706764861135135,4.078882544589439,4.130718644841314,3.646381479507491,5.124646250803147,4.803584356854659,8.140096379882293,4.761352619419318,5.576247016251295,6.309836592596871,7.051065806190099,7.404492982004260,5.894637590452686,10.522256590753599,7.632217673317224,6.370471840618070,7.746397998716898,9.509058523877092,8.160411114525171,9.055558708782096,8.185962677409663,9.473715846476132,8.054350082358857,8.510039978114611,9.268916877340128,9.591088655427107,6.366655514245598,7.656861943214628,8.161546167912672,8.634792786979721,7.711932651443282,6.947320959249022,6.829184021669818,3.457167376575412,8.855755598272729,3.770004234315068,3.939092817032410,4.993326994836746,3.231085173104181,2.213680013322922,3.249250229670000,4.573247017061501,4.551288629042467,4.174495251048116,2.529266516218704,3.390036634664063,4.871004195031499,4.003645137652287,4.668460821440687,5.313866352036411,4.444876033104435,3.942404296548633,4.365891606186100,2.823826934507555,3.582011824410040,6.174781069043232,4.621706959372431,3.709809983542551,2.815433940956461,4.112977126670639,3.556499757286436,5.525759400664629,3.080625523770709,5.735168696906634,5.358866239175410,4.502145975882088,4.739168115819520,2.583037180172437,2.656639148345110,4.931984521317123,4.620919054305271,4.679034199227502,5.678289924688409,4.343488141329746,4.476292398949447,4.072955239572657,4.317607136003909,3.768349672167413,6.419826587401792,3.943144333410010,10.273072810982759,27.059181416808311,4.594257218079252,5.669805453388318,4.976415779851077,7.296667265789850,3.545540433811133,8.731743044017099,8.266861004831588,6.267306265150537,4.488645101635646,3.072939155955292,3.761517502491955,6.305802183032247,5.361055336518357,4.703828634084095,4.527868071593899
"Households and nonprofit organizations; debt securities and loans; liability","Percent","1","NA",Z1/Z1/FG154104005.Q,FG154104005.Q,22.501868079614159,ND,ND,ND,24.526575539967279,ND,ND,ND,18.947743415046872,ND,ND,ND,14.694045635774851,ND,ND,ND,22.150049777226513,ND,ND,ND,11.493085710468300,10.797272520282331,15.507675073950260,12.853002628563731,16.161945963594810,17.403629896961139,13.754802426964270,9.293062427011808,9.760209505904191,6.698533626731264,9.829111319755295,11.727011711036059,15.445603461098210,17.547923256373849,18.855987386395039,15.786335724511920,13.743165955177069,11.498060934001121,10.660413472977311,8.272831550328231,9.945234697906209,9.201406649616368,9.057002364095744,6.822494736295269,5.198566803626558,3.827992454352391,4.983334532992336,7.375767160454420,11.130881743285389,10.688703095892841,12.002198125652320,12.300358443615270,11.843094645263159,7.180987781248764,10.024084217068721,8.107813647237156,8.307023734353526,6.490127673897124,7.836660523645038,7.010050416700504,10.532208051338740,6.863054178909360,8.744156253390019,9.721820612006786,10.217616396196670,8.902089717726412,11.321937831590740,10.709975846427961,11.202572450489161,9.646885745315000,10.123061312128851,8.855441095075630,10.084788844177160,8.522480023712973,8.956018806188352,8.159524302058529,9.434748220015878,7.266255901971613,8.166947650481195,4.148983050140612,5.481148319697421,3.815260499091992,5.102793544781916,6.147623164271705,20.932694665598593,-4.617300460089532,10.052581418214650,7.078361621119369,11.156587787785860,4.535408859421543,8.091699722517088,4.884704722702651,8.223291210005005,1.725031824509616,2.346119689333598,4.799929500278143,6.798966146129552,7.284274879751347,8.042857961261541,8.893335820134226,12.400589294615560,10.457595594001990,11.565735066103390,9.661579935493188,13.406647642067560,12.715401043307780,9.507947703408796,10.722302262994310,10.252296182815050,7.793060444281094,9.330229419495188,8.820664455528574,7.533806675897829,5.017332814626378,6.186449603270231,9.034192492375279,12.933768864450780,10.391629329455350,10.715213886762960,10.193085266321660,13.838904893252581,13.788683062860310,15.315751801842950,14.832914217493281,15.197284419669270,15.292617995466109,17.618138380791621,16.002647639069099,14.988112526332101,14.813596675918941,14.091321116365830,14.595311005693150,12.854010242764391,9.909892543426766,4.010508675708521,8.645447455103605,11.275352230322969,6.238967121935350,9.022363512858371,6.510736698078443,6.117710400331181,4.579280075988339,5.037979668987965,4.084019857286539,8.393411871296848,7.547217043508082,11.029852565489829,11.732673596884970,13.811495939662899,12.864264718920280,12.800563001512851,9.671818831718458,12.987107909522519,15.409065810152359,12.932886517911550,15.084708269591729,19.276088692368393,9.373411831767484,8.964386703829680,12.860409259954389,12.449881503521580,7.259240799513314,12.642458955601770,10.525347454023461,7.333829521514803,9.274726413096268,10.089105647917661,9.823234875900503,8.410338577315020,7.049691206789219,9.454877798426512,8.892905566325567,10.838794239266070,7.641734659556159,7.124768379487913,5.861058212651284,5.840658768393067,6.125558867106159,6.058377796981635,3.284578968039115,6.612165350930210,5.372992113938733,3.813369215086283,5.322191086689499,5.938259877784445,4.155219324641950,5.948788704509425,6.842880723183464,6.889541421397912,6.726252765012780,7.176414437452144,6.450014611310265,9.001581090640709,6.357442032646435,6.996842006104768,7.832011281077582,6.028567944447405,8.811336037458936,7.142902137357177,5.470299710631990,6.015176369021226,6.590668003653692,6.107031493101330,7.140661962211563,5.737540678621891,7.712827761746431,8.571126538821787,6.138823702395366,8.817953318471140,9.242968295647604,9.104598319177374,8.603823373863825,9.163349532433452,11.162158935607231,7.504524938693548,9.004443410321427,6.155103357196648,6.625579926561001,9.888590130976295,12.816780010899871,5.024224320500281,9.732353102376814,7.430161279004204,9.814590578828335,11.022398339136901,10.525757773267291,15.948070132645000,10.311746755585879,10.296302210529999,9.379737286699696,11.679679527364710,9.504191751445530,12.850172029420721,8.825717468731582,11.740127125619511,11.375408264792140,10.116789704865081,11.492501600728611,12.063576365840440,9.009171792000700,8.191299721822549,6.298066465703174,9.105364219574728,6.147435023094632,5.567598616777124,4.893001481518969,-0.362659533678906,3.360433859647777,-6.812163543325067,-0.387802202068027,0.860399269323603,0.426877946904071,0.791110320315455,-2.044515260047876,-0.435655996715743,-1.627437900499267,0.496255225338890,1.644846295065834,-0.436843901592281,-0.536299504414504,0.375798014031341,0.790462450894254,0.180071065417124,0.112646483060528,-0.197464387055608,1.855043103484465,1.128234365758506,0.964294124385084,5.251298499934409,2.311179909539406,1.845736105738423,-1.411698086776552,1.683488904881352,2.310400192595585,3.443782079517918,2.252593263383547,2.451811749402705,2.856348687845399,3.507830279570554,3.808405584587134,2.402200752290426,4.034911866030185,3.978415150862902,2.976019633629199,4.763777549375234,3.587046018464841,3.136236096121453,3.274362959904746,2.759095763261737,2.487181614076010,4.212452856403579,3.629923403419546,3.575005305353316,3.421598774369819,-0.464681318365300,5.419979437861476,5.545927972638954,6.015439378824320,7.710784768734023,7.207370375243459,7.738830199121079,7.909136402280106,7.160779037837963,6.219414811989534,3.017891082901841,2.419026126957659,3.138089561694836,3.169959918440893,2.270147268400587,2.898448661640963
"Households and nonprofit organizations; one-to-four-family residential mortgages; liability","Percent","1","NA",Z1/Z1/FG153165105.Q,FG153165105.Q,23.489789372393886,ND,ND,ND,22.367965367965368,ND,ND,ND,18.236813245126832,ND,ND,ND,11.920292023218240,ND,ND,ND,20.969897877345879,ND,ND,ND,14.457458563535910,12.071362372567190,11.972636116577640,12.148784393652640,12.680807474258669,12.873185428649689,13.851665118747510,11.528597076173380,10.943878345953699,10.367314750219901,12.653924046890470,14.484072964878850,16.826617252537549,16.948882637082651,17.003399152121609,15.245212973817900,13.772659365478949,12.550036390101891,12.556370251943330,11.122276624404011,10.825541121038450,10.062281634513139,8.080688340297741,8.079477893758352,7.646165527714503,7.536275075902919,7.261625090267558,9.340743201386209,11.205081414935430,11.070431910699201,10.701885538666000,11.082430431370010,9.915558636334993,9.125358380925295,7.587155342797238,8.631841346402048,8.261801800501022,7.868268047362389,7.361316324336323,8.988366073617961,10.434944807509110,7.837586916579562,8.629373746378427,9.584063129156720,9.812694412486229,8.641351815432513,9.391484387267871,10.514831230821679,9.966446297465200,9.328708955949564,8.689546675958040,9.302565904370200,8.677078757214488,8.395976968888231,7.563098430647394,8.638972292957318,8.212654742970878,7.830520986652935,5.885266751455920,5.133211951693626,4.241424229266174,4.019901865585068,3.839033006320359,7.426331099026179,7.218124777537725,6.740549814208005,6.064313386827870,7.055866163914532,7.207681585875794,7.025337156853051,6.427638242037929,7.052258301188346,5.913432303216339,4.330274966001529,1.620220349967596,4.168325175264016,6.024750595341607,7.628970508539762,5.434521563111126,9.066107030430221,10.528057830176810,10.925048634045771,8.075343025925903,11.026011026011030,12.348168419031159,12.630402384500741,9.348469165549581,10.147514798459079,12.048231736568900,10.573023771774221,8.658216103649817,9.571545833094236,8.886852954649564,7.631057449939070,7.506684851646590,9.384565572321179,12.109295210646700,12.709573566666011,9.794399463320577,12.268523761770719,13.222037528370040,14.942570971603621,14.989121700855160,16.600507826749499,16.158486086572442,16.377527583055969,15.209285561640600,17.116519174041301,17.652917499101260,17.361682431583830,14.173479453535670,15.353695651039081,15.129501900299619,11.494525379691410,7.281792147784523,11.185767140181790,11.693728900733049,7.808955172331915,9.090273910824950,6.094313002739936,5.184747145187602,5.424633437547896,3.604934419382201,3.263101237950775,6.460328915930378,8.532014449535723,9.235266219499213,10.884521070477110,11.271824031785240,13.056797661019861,10.418514943617261,9.426234361650836,10.989637609716629,15.534539698574910,9.604284231285916,15.965032366863509,13.686979726400180,10.909850653232651,10.875256073953350,15.498362899625381,15.112320450263480,13.838003570596911,14.905896877235140,11.359356420716059,11.509878969117310,10.565923022921670,12.331088954520609,10.982140379759709,11.138766490082320,7.581437125705540,9.804026865471023,11.517178996004191,13.222159734424199,9.218879478110956,9.327841530635348,8.003138752899371,7.430385180631156,7.936489301465483,8.729822677479362,3.128819782551893,7.549613931365304,7.376136572983154,4.224137631729522,6.724929866345618,7.015918171410085,3.458868549215109,6.915135298018282,5.836501224170307,5.378992218677349,5.655088621590192,5.302788129278775,4.742253211224673,6.089902052903476,4.777945289825132,5.112710289327082,5.067789123298242,4.159135991740999,7.654656428041580,6.209867751058538,4.754506914406715,5.479376737979076,6.748186137007636,5.075267332139779,7.916466181120460,4.155284680647751,8.543042118610710,7.015903214225832,6.190648106435456,9.632838887433165,10.336210913705500,8.170389144916038,9.659040228394730,7.780049078165033,8.103373933328093,8.490499170606723,8.753043247669627,8.173979465490046,9.427699472765488,11.656416369863910,11.289502152949680,8.255542927560741,12.310826478301980,10.464621571635361,13.299319449363489,14.526680302601349,11.843477727475300,14.744143588979799,14.896060573086920,13.584268779714970,10.650393663932020,14.103656135538840,12.594475635266630,13.878236006876550,11.257255700349370,14.154984982289120,13.747682813838891,13.240066921986591,12.879122521823010,13.542238480565800,9.892740094015515,6.717676095601015,7.527334348199148,8.494607826165701,7.449036235886180,4.601080554685107,3.376380718610586,0.933456738968144,0.385867409953284,-1.720734578108618,1.735422151508178,1.428110054650236,-0.152750523544261,0.499804600327134,-2.854885445030714,-0.679937006431526,-2.031038640418003,-0.481071552459498,0.229441648482086,-0.802524683053239,-1.451106604016355,-0.345692206127158,-0.938432737304773,-0.971026502454451,-1.479743419899370,-1.024994443475572,-0.265520246145991,-0.517237263583514,0.238060594332569,0.052856425517521,-0.227993890046805,-0.386154826973083,-0.329278290466690,0.925113704246500,0.375907190910637,1.715174284279739,1.202145153457195,1.803405053983180,1.165550271625968,2.177980105434364,2.463499425809571,2.414227794930850,3.410814017049174,2.802358122832136,2.744058000306383,3.185774720626972,2.764344304340010,3.261320467078875,3.292036175567599,2.415992481291983,2.362711529934523,3.295898167987122,3.019257142993608,2.497409759401236,2.781348761636330,2.440507193381346,5.222454696996133,4.414742782190387,5.395401709729594,7.991973020009342,7.685523778632914,7.985817521829734,8.438799888531243,8.457791786310430,6.540423314545013,3.526538103607142,2.800235616330617,2.926733305221459,3.624909402078263,2.093718361209392,2.145160149428424
"Households and nonprofit organizations; consumer credit; liability","Percent","1","NA",Z1/Z1/FG153166000.Q,FG153166000.Q,43.779411764705877,ND,ND,ND,36.013091950496062,ND,ND,ND,22.815460971574673,ND,ND,ND,18.626010286553999,ND,ND,ND,23.603798905749969,ND,ND,ND,5.858771453626759,9.412228796844181,24.596766423217009,16.491177111320891,25.727486705605440,25.873140685407247,10.859714582451820,9.278427730425271,5.402200408459056,-2.134974287860404,3.627729328986255,3.756314494192824,10.211661711971820,17.109251174818560,21.783273890870301,19.161176931733408,14.588147281162710,12.566066730308039,7.776830913185058,6.539044940710149,5.945825231084313,6.859167024474024,6.388940189430915,6.172159840450395,2.772194176346330,-2.566186480281203,-2.263745814268551,1.606186181863053,5.491629924364627,13.253182461103250,13.258425867523311,15.407623356586431,17.162101195331690,5.991645255448937,10.532116411227831,6.597426131310928,4.397345746261266,2.751110240334378,-0.841586365976560,3.505065852013747,8.738900187262146,5.597856073145739,12.541441402925090,7.891226192539889,10.026866918212960,11.333352561144441,10.207723456097600,12.644864861169040,12.883043203064680,13.790933607294210,10.992523718340630,12.177337996943280,9.678941706507050,13.699743566260651,13.060117606364580,9.997481067812870,7.796058049521439,10.326293222825139,5.466685665574230,3.585785099509236,4.461228230980751,3.739049718628531,3.953491156853588,5.516004951598598,6.335483056021446,7.151344331150350,8.698012813551960,9.522544304806440,12.889384856270381,10.576246186852600,9.601645996456536,6.082013092115230,5.984637858724848,4.019933297738159,2.475297776943571,4.832587798610450,2.214042960558363,13.665270088283700,8.074443168356229,10.646271890168880,12.359626234071690,11.086617127771490,13.520711698760270,10.682122045357080,14.640184031179651,14.801163803575561,14.472281072946929,10.529534125714530,10.633968587501499,7.430821846823505,6.853712512400478,4.831618592228396,-0.834206416668314,1.046422947020196,-1.309431637024167,5.913361444361010,9.822567652346937,9.305493825967652,8.546278176586258,9.134822060026718,13.889347086802770,12.344460410288210,17.326648826259269,14.647846167582530,14.831983274672011,14.977802274134360,21.915809334241839,15.590226569035851,13.467357206716249,14.526910907309549,13.859116597943499,13.760510023562819,10.825981022167349,5.050251539693640,-7.040789544220059,1.689757563302128,4.269429964059163,5.944800080437041,6.307977991841543,7.549536637536898,1.936118203991765,5.987318792638971,5.394246858038279,2.513181403641013,5.691127059697267,6.018380814583659,9.421709665323192,12.832506817542191,18.319914432468646,17.852085290798829,21.361082600116632,14.606036960398409,15.101285505107141,18.889673822220200,14.390023420010641,14.935671900435860,12.117346400695890,9.073920605856127,10.803383434112760,10.075168858994260,5.422681611959073,-2.025346849652212,7.167022886025391,7.997510594790031,5.977746882776715,8.372838657964046,7.139011642253079,5.509687407884914,5.006562553499077,6.090664863138515,7.008309927060323,4.543144886738956,6.599769641109893,2.228139654139147,2.220220621214485,3.868949420146400,-0.887893733547157,0.227440619802982,-0.974347457249551,-2.312570752524304,-1.228344079357702,0.827630854568706,-0.925766746179499,1.568599555788304,3.026969445053566,3.882177918908204,5.102346225490416,8.184881013852916,11.858304307449830,11.970515781978380,14.778203412718740,14.368742461632580,16.630979893263529,14.577914701596599,13.844958629194799,13.925335508030230,12.361835897261660,9.997688672784550,9.194339612792769,7.372894536070312,8.472037206901160,3.281946936833825,5.747125541819892,5.685674436955349,6.921662815664257,2.488682565012480,12.201152212745320,6.762597360853619,6.751764563113646,8.448995054368641,7.880945638733877,8.610388212783212,5.376921520161499,7.927346548903144,12.254954479176741,11.953364285410281,11.439683693693970,9.990771087949176,7.114800125619237,4.801200547865570,11.645168177793980,5.723039157385956,6.820906516747012,4.857615432544107,4.392308776846647,5.861769206733273,6.362420068766647,4.661836617112833,3.925871539544191,6.264634329593159,3.529105097706798,6.076590764007154,5.974685315052956,5.115311386461717,4.993972676578561,4.258750943848741,3.430687691331118,3.403754705232154,4.812668247543023,5.175696639898089,6.701008678560521,4.512935154083745,5.584816653300099,7.197311364032199,6.619609040845237,5.537815196092474,2.540970090475567,-0.754279088709016,-2.047160402699907,-3.171358671724057,-5.666023721732314,-2.296916292249837,-3.349811815411246,-3.454342698278866,-2.859867591859970,0.584137129079773,1.327388934810822,3.811379411996116,3.152209232622042,4.006144991005213,5.318191510481387,5.128900058757913,5.772354534527144,5.079987918084329,6.576236049540646,6.899233016129783,5.101200734152272,5.988201341948650,5.857953372102910,7.795490405371681,7.516150005609873,6.878942931896029,5.444059906281584,7.136342423573559,7.481120546602293,7.227941670390392,5.703870578889979,7.824726111572887,6.533696720322569,7.013301002472851,5.723126576778455,5.440988594666796,4.669906446820663,4.669516143403326,6.180448253805673,4.772850334885400,3.134793286580623,4.788843003528839,5.041282366662368,4.495337363364722,4.200590401469174,5.033158095513485,4.441929928578892,0.858906578792161,-6.399189137572414,2.564050831106840,1.893455352543668,3.846179809748429,7.158684355275577,5.178573798596147,5.767801931120061,7.547010108046452,8.861006752997737,6.610158820062035,6.556589939417494,4.029976160666990,3.474944986190540,0.390796890650921,2.592485258746157,1.844576889999093
