Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average
Comoros,COM,,,,,,,,,,,,,,,,,,,,,212.22,196.35,184.01,191.62,184.7,196.73,279.2,337.53,356.5,341.48,429.62,424.11,457.39,452.88,319.19,398.46,396.05,364.45,370.11,382.45,351.14,378.51,425.96,546.89,633.71,653.85,698.43,795.67,915.66,905.34,907.98,1023.09,1015.84,1116.22,1149.59,966.03,1012.84,1077.44,1188.8,1195.02,1225.04,1296.09,1242.52,1352.38,648.84
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,142.25,139.47,140.63,138.48,132.02,137.73,190.65,235.25,264.31,267.45,306.89,319.83,357.16,490.42,406.58,487.15,501.98,490.61,521.91,592.42,539.23,563.09,620.51,813.26,924.94,972.24,1107.57,1649.62,1959.62,1852.33,1824.75,2046.82,1913.08,2028.91,2041.93,1749.86,1849.79,1996.74,2205.1,2252.18,1821.57,2051.84,2303.74,2587.25,1044.07
Costa Rica,CRI,507.51,490.33,479.18,511.9,542.58,592.98,647.31,699.46,773.84,853.63,984.83,1077.15,1238.25,1528.93,1666.54,1960.86,2412.56,3072.43,3523.21,4035.52,4831.45,2623.8,2606.62,3146.77,3660.48,3919.2,4418.98,4532.95,4614.63,5251.03,5711.69,7196.28,8564.04,9582.87,10486.79,11578.59,11678.42,12614.6,13684.26,14254.87,15013.63,15976.17,16578.82,17271.76,18610.59,20040.64,22715.54,26884.7,30801.74,30745.71,37658.61,42762.61,47231.66,50949.67,52016.41,56441.92,58847.02,60516.04,62420.16,64417.67,62395.61,64960.73,69243.63,86497.94,18805.57
Caribbean small states,CSS,641.54,700.03,751.07,783.06,850.01,941.96,1060.21,1193.81,1249.83,1408.42,1494.64,1613.96,1699.53,1914.71,2188.78,2399.03,2459.99,2810.36,3227.98,3813.51,4581.03,4920.71,5085.93,5355.24,5856.0,6344.03,6899.37,7446.65,8147.44,8161.22,8504.28,8637.25,8801.29,9144.08,9839.2,10400.85,11180.26,14335.08,15597.6,16582.09,17467.37,17638.38,18687.79,19248.88,20281.94,22208.37,25923.71,28067.23,29396.28,28708.19,29715.53,30344.56,32052.39,32390.81,33462.28,34538.26,33451.25,34921.59,36225.42,37621.01,31378.03,36706.59,48138.05,53252.64,14700.76
Cuba,CUB,,,,,,,,,,,5693.01,6914.66,8135.15,9987.71,11405.96,13027.42,13789.58,14206.16,17844.71,19584.44,19912.89,20150.25,20953.51,22204.94,24039.38,22920.49,24226.57,25213.94,27459.0,27023.47,28645.44,24316.56,22085.86,22367.25,28448.33,30429.8,25017.37,25365.91,25736.33,28364.62,30565.4,31682.4,33590.5,35901.2,38203.0,42643.84,48835.93,54262.87,56302.13,57481.48,59562.96,68990.0,73141.0,77148.0,80656.1,87132.8,91370.41,96850.65,100050.04,103427.6,107351.8,,,,39031.78
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2930.09,3012.84,3033.57,3059.41,3058.78,3024.69,3033.43,3046.36,3026.12,2534.33,2739.61,3073.84,,2964.42
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.29,4466.28,4585.95,4281.71,4156.84,4186.07,4291.0,4405.8,4562.85,4708.17,4909.32,5166.28,5530.18,5941.9,5655.36,6060.03,6600.84,,4924.05
Cyprus,CYP,,,,,,,,,,,,,,,,489.91,576.09,734.89,964.03,1288.72,2154.31,2087.5,2159.24,2160.36,2278.25,2430.41,3090.73,3704.81,4278.79,4563.48,5591.13,5770.2,6912.15,6590.29,7425.7,9933.13,10011.92,9547.82,10248.62,10497.91,9985.84,10397.9,11420.23,14547.33,17320.55,18433.41,20072.79,23968.76,27844.7,26048.25,25799.94,27641.55,25047.43,23959.71,23225.91,19909.27,21046.45,22946.58,25597.3,25947.02,25227.19,29482.91,29250.53,32229.62,13323.3
Czechia,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40728.95,29859.92,34805.01,40866.75,47850.2,60147.17,67387.79,62180.16,66807.43,65173.13,61828.17,67808.03,82196.0,100090.47,119814.43,137143.47,156264.1,190183.8,236816.49,207434.3,209069.94,229562.73,208857.72,211685.62,209358.83,188033.05,196272.07,218628.94,249000.54,252548.18,245974.56,281791.22,290565.65,330858.34,152870.39
Germany,DEU,84310.95,96205.73,105508.88,111822.81,122880.2,134282.71,142781.16,144570.99,155955.91,177084.69,215838.45,249985.06,299801.54,398374.02,445303.48,490636.52,519754.45,600498.24,740469.98,881345.18,950290.86,800472.06,776576.44,770684.32,725111.12,732534.89,1046259.37,1298176.11,1401233.23,1398967.44,1771671.21,1868945.2,2131571.7,2071323.79,2205074.12,2585792.28,2497244.61,2211989.62,2238990.77,2194945.28,1947981.99,1945790.97,2078484.52,2501640.39,2814353.87,2846864.21,2994703.64,3425578.38,3745264.09,3411261.21,3399667.82,3749314.99,3527143.19,3733804.65,3889093.05,3357585.72,3469853.46,3690849.15,3974443.36,3889177.59,3887727.16,4278503.93,4082469.49,4456081.02,1857701.61
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,340.99,,373.37,395.79,409.22,452.33,462.42,478.06,466.05,491.69,497.72,494.0,502.68,514.27,536.08,551.23,572.42,591.12,622.04,666.07,708.63,768.87,847.92,999.11,1049.11,1128.61,1239.14,1353.63,2042.82,2214.68,2424.39,2604.96,2762.58,2913.47,3088.85,3185.15,3385.83,3674.3,4098.53,1313.37
Dominica,DMA,,,,,,,,,,,,,,,,,,45.87,57.13,55.02,72.8,82.11,89.53,98.67,109.16,119.49,135.16,151.87,171.11,185.14,201.43,219.76,234.06,245.53,264.37,274.52,292.29,302.99,322.41,331.76,333.47,340.2,333.2,343.31,367.2,364.26,390.25,421.37,458.19,489.07,493.83,501.03,486.0,498.3,520.43,540.74,576.23,521.55,554.77,611.54,504.21,555.27,607.16,653.99,330.38
Denmark,DNK,6361.17,7058.36,7953.27,8466.04,9677.4,10870.67,11931.74,13059.06,13505.57,15414.9,17075.46,19085.73,23232.38,30730.63,34160.44,40474.41,44575.89,49784.34,60362.93,70366.24,71127.53,61877.81,60412.84,60644.78,59105.24,62658.57,88078.76,109414.42,115552.85,112409.22,138247.29,139224.69,152915.65,143195.63,156162.39,185006.88,187632.35,173537.65,176991.93,177965.19,164158.74,164791.44,178635.16,218096.03,251373.0,264467.34,282884.95,319423.42,353361.04,321241.3,321995.28,344003.14,327148.94,343584.39,352993.63,302673.07,313115.93,332121.06,356841.22,346498.74,354762.75,405688.0,400167.2,404198.76,161727.08
Dominican Republic,DOM,672.4,654.1,824.1,940.8,1025.6,888.1,983.9,1034.8,1079.1,1230.5,1485.5,1666.5,1987.4,2344.8,2925.7,3599.2,3951.5,4587.1,4734.4,5498.8,6761.3,7561.3,8267.4,9220.6,11594.0,5044.58,6122.13,5827.05,5374.3,6686.59,7073.68,9824.48,11605.38,13081.04,14644.73,16637.37,18241.62,20017.45,21672.22,22136.58,24305.78,25601.82,27137.44,21403.17,22322.39,35777.56,37879.83,43965.46,48122.6,48261.08,53860.19,58029.77,60681.54,62682.16,67179.96,71164.83,75704.65,79998.05,85555.39,88941.37,78844.66,94243.43,113537.37,121444.28,26814.89
Algeria,DZA,2723.62,2434.75,2001.44,2702.98,2909.32,3136.28,3039.86,3370.87,3852.15,4257.25,4863.53,5077.18,6766.74,8707.86,13209.87,15557.9,17728.24,20972.11,26364.49,33243.71,42345.83,44348.59,45207.17,48801.37,53698.55,57937.87,63692.01,66745.82,59089.4,55634.72,62048.51,45715.68,48003.13,49945.58,42543.18,41764.29,46941.55,48177.61,48187.78,48640.67,54790.4,59413.4,61516.1,73482.26,91913.68,107046.62,123084.26,142482.74,180383.85,150317.29,177785.05,218331.95,227143.75,229701.43,238942.66,187493.86,180763.84,189880.9,194554.48,193459.66,164873.42,186265.42,225560.26,239899.49,79710.57
East Asia & Pacific (excluding high income),EAP,80767.96,71153.22,64897.47,70193.95,81084.34,94481.21,103367.73,100363.07,101465.07,114096.75,127055.93,136447.38,155365.11,195434.17,221490.89,248567.76,252736.81,291299.81,282730.09,327361.71,377675.12,403202.26,423460.78,443396.66,480418.79,526023.14,524630.08,518550.54,575590.95,622223.09,666707.2,723516.41,811406.24,890618.18,1071871.02,1322031.21,1518329.38,1570608.55,1433203.27,1577918.12,1736143.01,1847119.55,2044360.33,2313862.65,2682937.09,3107694.83,3742774.3,4731773.14,5987096.4,6491258.52,7900541.54,9650693.74,10759908.11,11870059.93,12800187.43,13323235.97,13614572.56,14881098.14,16640354.82,17213215.78,17487334.63,20840018.39,21113809.33,21150247.85,4117688.12
Early-demographic dividend,EAR,131637.08,140036.72,144189.89,161801.03,180039.0,194128.79,190506.9,208043.84,227934.69,252869.27,270344.19,291523.9,323860.39,406590.66,573053.51,638390.2,706472.97,794025.96,886440.86,1081197.96,1355426.06,1506870.59,1425568.3,1421935.17,1438397.58,1436209.74,1443301.51,1465139.23,1548914.84,1578344.5,1840493.29,1953004.02,2145890.83,2382383.52,2502116.96,2551503.56,2767912.53,2956209.29,2921452.24,3090569.98,3377700.77,3351139.23,3254999.17,3622987.6,4210079.74,4895873.89,5596741.34,6624825.3,7460093.87,7172729.96,8708208.71,9813800.57,10261753.92,10406754.47,10766609.7,10237020.1,10537028.72,11393447.78,11524427.7,11767656.59,10981013.17,12771307.37,14131148.78,14847823.84,3988279.75
East Asia & Pacific,EAS,157148.09,158408.61,162135.3,180955.86,207767.28,231258.75,258764.88,281221.66,310695.7,358268.4,412631.1,458546.46,570116.35,751512.07,865802.85,947550.7,1042088.86,1241833.98,1569054.07,1703076.89,1840088.03,2028262.84,1986883.14,2115593.85,2263578.14,2388076.79,3123743.38,3667481.81,4409114.82,4590725.41,4790950.09,5412827.59,5917237.19,6619443.69,7404385.95,8407601.72,8101501.48,7743809.43,6931723.21,7743402.6,8377363.42,7789513.2,7912759.25,8702214.03,9758440.01,10411320.78,11034810.13,12331150.79,14220148.74,14630641.1,17078057.24,19796933.12,21174178.69,21411284.06,22089701.79,21995274.22,22776012.76,24329094.91,26487859.56,27032494.94,27156482.41,31148240.51,30663750.18,30775659.2,8725603.97
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,231719.77,255834.06,289097.63,346940.94,333725.38,323228.05,342532.32,273360.97,306497.14,324891.75,344755.42,419693.87,382648.78,390254.64,334433.49,389028.55,495996.12,639128.69,796047.19,925984.01,1165481.35,1395064.18,1163141.21,1377629.39,1566799.09,1652506.73,1802285.9,1729714.2,1507646.95,1447395.31,1485108.26,1459981.3,1488770.22,1428327.22,1659440.84,1803038.23,2098349.71,929094.02
Europe & Central Asia,ECS,426443.19,469280.0,513219.98,561276.3,620340.95,676460.95,731651.66,777412.83,818984.56,908300.58,1020817.8,1152009.13,1381535.07,1757663.87,1986456.07,2320724.91,2412984.17,2729066.35,3345784.14,4079020.91,4611623.53,4108150.87,3960025.76,3840328.21,3691045.69,3819244.97,5207726.64,6431399.55,7159610.2,7254765.28,8868968.95,9137898.92,9788830.74,9000999.81,9411954.54,10868921.76,11093788.61,10521843.39,10794474.24,10676207.7,10065925.07,10168292.81,11134331.41,13534598.83,15775505.01,16780903.79,18167737.74,21227702.06,23363341.47,20545109.87,21016513.11,23305973.33,22453705.24,23454990.4,23784373.3,20481460.3,20408605.61,21652842.5,23188735.73,22908223.28,22156549.34,25331394.42,25389267.75,27240628.84,10351155.53
Ecuador,ECU,2069.46,1753.85,1518.21,1824.34,2244.15,2387.05,2429.31,2553.6,2582.18,3112.17,2862.5,2754.22,3185.99,3891.75,6599.26,7731.67,9091.92,11026.34,11922.5,14175.16,17881.51,21810.76,19929.85,17152.48,16912.51,17149.09,15314.14,13945.43,13051.88,13890.82,15239.27,16988.54,18094.24,18938.72,22708.67,24432.88,25226.39,28162.05,27981.9,19645.27,17539.45,23127.06,27054.2,30965.21,35194.95,40278.85,45690.76,49848.72,61139.44,60094.98,68151.33,78986.65,87735.05,96570.33,102717.79,97209.56,97671.43,104467.49,107478.96,107595.83,95865.47,107435.1,116586.08,118844.83,35287.84
"Egypt, Arab Rep.",EGY,,,,,,4948.67,5278.01,5605.48,5932.24,6524.46,8042.2,8609.28,9299.64,10098.53,9228.96,11632.18,13315.99,14400.81,14811.7,18020.57,21669.91,22136.08,27655.17,30966.24,33971.19,39053.5,41253.51,40455.62,34980.12,39756.3,42978.91,37387.84,41855.99,46578.63,51897.98,60159.25,67629.72,78436.58,84828.81,90710.7,99838.54,96684.64,85146.07,80288.46,78782.47,89600.67,107426.09,130437.83,162818.18,189147.01,218983.67,235989.67,279116.67,288434.11,305595.41,329366.58,332441.72,248362.77,262588.63,318678.82,383817.84,424671.77,476747.72,395926.08,113576.31
Euro area,EMU,251547.94,280001.21,309682.84,340867.42,377688.78,412852.33,446696.79,474740.44,510444.78,570281.64,645797.49,731954.12,884219.5,1147887.89,1301780.02,1509429.67,1575250.81,1791799.41,2194147.27,2657918.87,2976836.15,2587111.66,2504826.68,2443641.16,2343942.48,2408039.73,3379544.97,4180009.79,4597153.41,4695807.0,5909782.09,6130268.73,6751656.85,6180929.63,6528765.02,7538490.21,7628743.16,6976433.29,7175152.57,7139949.53,6517629.74,6619382.6,7226691.6,8897545.94,10202235.33,10568560.02,11233646.62,12938432.03,14226784.16,13000703.04,12700582.11,13700831.61,12695678.62,13255654.45,13570070.38,11727106.02,12025904.49,12736901.06,13761117.14,13481146.12,13155164.14,14754625.13,14224347.0,15544858.68,6363401.11
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.1,467.87,531.69,578.02,693.54,686.49,745.52,688.92,706.37,752.37,729.32,870.25,1109.05,1098.42,1211.16,1317.97,1380.19,1856.7,1589.52,2065.0,,,,,,,,,,,,,977.77
Spain,ESP,12433.39,14248.3,16621.5,19645.75,21982.58,25497.83,29580.56,32594.19,32417.48,37117.2,40993.0,46619.42,59132.42,78639.53,97274.01,114777.05,118507.18,132449.28,160599.69,214601.96,232766.82,202807.89,195996.75,170951.19,172102.91,180793.46,251321.08,318747.94,376160.41,414757.06,536558.59,577166.17,630916.02,525075.64,530562.63,614609.02,642588.99,590077.27,619214.83,634907.54,598363.31,627830.03,708756.68,907491.52,1069055.68,1153715.82,1260398.98,1474002.58,1631863.49,1491472.92,1422108.2,1480710.5,1324750.74,1355579.54,1371820.54,1196156.97,1233554.97,1313245.33,1421702.72,1394320.06,1278128.87,1445651.65,1417800.47,1580694.71,623171.73
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4013.09,4123.01,4502.97,4786.02,5154.42,5674.08,5756.91,5686.58,6254.65,7367.98,9874.01,12145.91,14106.79,17022.87,22449.13,24341.68,19633.03,19523.48,23213.99,23019.15,25115.75,26634.08,22890.76,24072.83,26924.39,30624.72,31290.45,31330.42,36864.79,37921.48,40744.85,18485.94
Ethiopia,ETH,1610.51,1680.86,1747.57,1825.06,1984.13,2160.0,2324.47,2461.76,2619.95,2768.99,3045.35,3224.28,3520.25,4070.57,4577.21,4577.05,4943.81,5651.84,6014.96,6586.05,7012.59,7507.66,7899.99,8781.66,8298.31,9717.39,10094.33,10790.0,11181.12,11762.93,12478.94,13799.8,10754.8,9051.04,7100.81,7855.21,8761.22,8803.54,8013.27,7892.97,8242.35,8231.33,7850.81,8623.69,10131.19,12401.14,15280.86,19707.62,27066.91,32437.39,29933.79,31952.76,43310.72,47648.28,55612.23,64589.33,74296.75,81770.89,84269.2,95912.61,107657.73,111261.88,126772.7,163697.93,23806.44
European Union,EUU,285073.05,316870.41,350221.81,384821.62,426857.75,467082.51,505703.86,538499.76,577998.46,645042.63,729230.21,824288.43,994401.35,1286732.42,1456741.99,1696431.87,1777203.1,2012781.5,2451545.64,2962558.96,3314876.48,2893850.86,2792072.84,2714737.32,2615737.66,2690005.73,3755825.28,4642293.25,5096307.31,5205659.08,6509870.87,6733632.57,7392186.36,6751222.89,7155503.34,8296091.25,8431591.14,7733843.72,7969880.73,7925844.56,7276390.69,7393611.98,8083519.74,9932134.72,11418900.28,11910069.05,12712635.66,14727520.91,16295391.11,14762842.57,14556122.14,15765158.67,14641634.84,15294853.94,15651372.75,13553897.26,13888833.47,14765880.18,15981445.87,15694050.31,15381418.58,17315127.12,16761496.59,18349388.45,7241012.77
Fragile and conflict affected situations,FCS,30738.24,32690.86,35607.39,38028.73,38274.77,40813.67,43238.59,44174.62,48568.84,53610.33,65401.46,66561.39,77479.65,95510.53,146900.68,161513.56,195304.5,213278.35,231356.88,297570.0,382755.05,512808.13,487187.69,421776.65,382295.04,389797.45,357218.74,359768.87,389154.19,382426.62,550431.83,386525.3,345171.86,351215.28,353240.29,431762.56,466440.87,522326.78,536100.03,400171.16,468035.99,458017.48,446928.94,470617.92,596965.32,755160.91,945955.28,1159333.5,1481946.19,1342728.72,1593981.1,1664321.55,1861813.8,1935544.49,2053788.95,1617323.28,1490633.65,1549712.15,1735183.81,1842154.94,1690930.06,1796274.44,1950006.46,1906801.17,674677.46
Finland,FIN,5279.01,5983.9,6407.23,6958.3,7848.29,8679.62,9305.31,9467.43,8915.77,10176.62,11357.52,12527.41,14743.19,19472.36,24848.82,29472.62,31849.51,33499.8,36256.16,44465.26,53645.2,52448.33,52797.58,50973.53,52888.8,55875.86,73531.55,91594.75,109058.99,119012.05,141438.35,127773.86,112532.52,89214.11,103299.94,134189.81,132129.17,126912.15,134038.72,135264.08,126019.54,129533.11,140404.46,171652.46,197479.44,204885.49,217089.27,256378.07,285716.31,253497.52,249424.31,275604.36,258290.06,271362.41,274862.83,234534.38,240771.35,255647.98,275708.0,268514.92,271886.08,296470.42,281887.43,300187.2,125374.08
Fiji,FJI,112.33,116.99,122.91,129.45,140.03,147.08,150.6,162.63,166.95,182.18,219.88,247.75,316.66,425.95,558.59,684.28,694.54,719.5,829.27,1019.69,1202.62,1235.63,1194.06,1123.09,1178.0,1141.17,1290.27,1177.95,1110.01,1182.66,1337.02,1383.88,1532.41,1636.1,1825.73,1970.3,2128.7,2090.22,1653.15,1936.46,1678.22,1652.46,1833.28,2300.49,2708.08,2980.4,3076.31,3378.31,3523.19,2870.62,3140.17,3779.41,3972.03,4189.97,4857.1,4682.48,4930.21,5353.47,5581.43,5444.41,4432.47,4305.03,4979.98,5494.8,1994.08
France,FRA,62225.48,67461.64,75607.53,84759.2,94007.85,101537.25,110045.85,118972.98,129785.44,141903.07,148456.36,165966.62,203494.15,264429.88,285553.74,360832.19,372319.04,410279.49,506709.3,613953.13,701288.42,615552.2,584877.73,559869.18,530683.78,553138.41,771470.78,934173.31,1018847.04,1025211.8,1269179.62,1269276.83,1401465.92,1322815.61,1393982.75,1601094.76,1605675.09,1452884.92,1503108.74,1493151.74,1365639.66,1377657.34,1501409.38,1844544.79,2119633.18,2196945.23,2320536.22,2660591.25,2930303.78,2700887.37,2645187.88,2865157.54,2683671.72,2811876.9,2855964.49,2439188.64,2472964.34,2595151.05,2790956.88,2728870.25,2647418.69,2959355.82,2779092.24,3030904.09,1332030.59
Faroe Islands,FRO,,,,,,57.95,64.4,66.23,65.19,70.11,84.93,99.22,119.34,161.24,196.77,227.4,270.47,347.8,397.83,448.57,493.01,456.24,444.05,486.61,426.01,459.31,688.91,886.51,968.58,871.94,960.81,909.25,912.67,760.96,758.74,901.4,989.54,933.76,1104.74,1127.68,1067.11,1160.27,1275.09,1501.94,1724.77,1759.74,2017.68,2339.02,2489.87,2296.07,2331.8,2505.74,2427.2,2690.11,2914.01,2573.91,2813.28,2980.06,3188.6,3266.43,3262.05,3655.06,3555.93,,1276.1
"Micronesia, Fed. Sts.",FSM,,,,,,,,,,,19.89,21.78,25.1,34.82,46.1,46.12,46.81,47.31,53.66,60.27,64.19,76.47,80.06,84.11,84.68,101.93,112.21,116.7,124.7,135.2,147.2,166.2,178.1,198.4,202.5,221.58,218.53,206.63,218.87,220.14,233.27,240.97,242.52,245.43,240.24,250.28,253.54,256.79,263.15,280.28,296.94,311.3,327.25,317.21,319.27,316.49,325.0,359.0,392.0,394.0,372.0,390.0,430.0,460.0,201.43
Gabon,GAB,141.47,167.64,182.8,154.48,215.68,226.47,245.85,271.54,294.47,318.12,323.8,381.69,430.51,722.78,1544.22,2157.59,3009.41,2809.35,2389.48,3030.25,4279.64,3862.27,3618.01,3391.28,3561.45,3339.91,3403.64,3281.8,3834.5,4186.41,5952.29,5402.92,5592.39,4378.65,4190.82,4958.85,5694.04,5326.82,4483.42,4662.99,5080.48,5023.27,5335.45,6511.9,7770.22,9582.78,10327.6,12455.41,15571.35,12113.7,14372.59,18210.31,17170.46,17595.74,18203.97,14383.11,14023.89,14929.49,16867.33,16874.41,15314.58,20217.95,21071.74,20516.13,6811.62
United Kingdom,GBR,73233.97,77741.97,81247.56,86561.96,94407.56,101824.76,108572.75,113116.89,107759.91,116464.7,130671.95,148113.9,169965.03,192537.97,206131.37,241756.64,232614.56,263066.46,335883.03,438994.07,564947.71,540765.68,515048.92,489618.01,461487.1,489285.16,601452.65,745162.61,910122.73,926884.82,1093169.39,1142797.18,1179659.53,1061388.72,1140489.75,1344240.18,1419645.87,1560911.92,1653694.93,1687830.45,1665534.88,1649827.26,1785729.92,2054422.86,2421525.08,2543180.0,2708441.58,3090510.2,2929411.76,2412840.01,2485482.6,2663805.83,2707089.73,2784853.5,3064708.25,2927911.14,2689106.57,2680148.05,2871340.35,2851407.16,2697806.59,3141506.16,3088839.76,3340032.38,1345386.44
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,7500.0,6400.0,3730.0,2701.3,2514.07,2693.77,3095.05,3510.52,3613.5,2800.03,3057.48,3219.46,3395.77,3991.38,5125.37,6410.91,7745.25,10172.93,12795.15,10766.92,12426.91,15475.29,16894.39,17517.66,17966.02,15223.8,15444.55,16473.13,17902.54,17638.34,16010.87,18853.12,24984.57,30535.53,9691.5
Ghana,GHA,1223.94,1309.86,1390.14,1549.3,1740.85,2064.79,2138.03,1748.84,1666.67,1961.76,2214.71,2427.18,2116.54,3018.1,2894.41,2810.11,2765.25,3189.43,3662.48,4020.23,4445.23,4222.44,4035.99,4057.28,4412.28,4504.31,5735.68,5074.83,5197.77,5251.86,5889.11,6603.19,6416.1,5968.92,5446.38,6464.38,6932.99,6891.44,7482.07,7718.11,4982.85,5314.87,6166.2,7632.72,8881.42,10744.57,20885.04,24827.34,28679.38,26048.72,32197.66,39336.67,41271.7,62824.63,54783.32,49406.01,56164.93,60405.92,67298.91,68337.97,70043.1,79524.42,74263.36,76370.39,17735.24
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,,,,,,,,3220.22,3594.3,4203.07,5152.08,5691.42,6102.77,6762.78,6914.38,8087.31,8877.09,9746.52,9646.44,11926.03,15129.89,18421.5,22787.64,2909.13,2976.71,3476.48,3546.08,3888.32,4396.18,4789.22,4781.17,4932.8,5385.7,5641.24,5516.92,5232.12,5046.81,4367.46,4125.53,4301.61,5025.17,5300.77,4282.47,4220.02,6281.92,6964.18,6716.9,6853.47,6785.14,7638.05,8376.61,8778.47,8794.2,8595.96,10324.67,11857.03,13442.86,14177.84,16091.82,20999.23,23612.3,7901.78
"Gambia, The",GMB,,,,,,,44.21,46.7,41.16,45.17,52.3,55.73,59.16,75.19,95.8,115.18,112.19,138.09,171.83,207.11,241.08,218.77,216.05,213.45,177.34,225.73,185.65,220.63,266.67,284.12,317.08,690.31,714.25,755.04,746.49,786.0,848.24,803.63,840.29,814.72,782.91,687.41,578.24,487.04,961.9,1027.7,1054.11,1279.7,1561.77,1450.14,1543.29,1409.69,1415.0,1375.61,1229.46,1378.18,1484.58,1504.91,1670.67,1813.61,1812.17,2014.16,2175.1,2339.9,756.25
Guinea-Bissau,GNB,,,,,,,,,,,204.67,204.17,227.99,232.33,256.77,283.31,292.15,298.87,318.88,308.14,287.65,402.23,430.28,425.23,359.98,373.96,338.52,451.89,427.51,554.07,634.19,668.47,588.31,615.78,612.5,660.2,702.97,698.11,591.03,579.37,391.35,412.61,466.77,553.61,582.17,639.78,634.78,753.16,952.67,890.17,940.11,1157.07,1049.41,1109.68,1135.25,1152.38,1245.07,1469.98,1554.13,1486.48,1520.48,1724.56,1714.17,1966.46,713.55
Equatorial Guinea,GNQ,,,9.12,10.84,12.71,64.75,69.11,72.32,67.51,67.23,66.33,64.95,65.43,81.2,94.16,104.3,103.65,103.99,,,50.64,36.73,44.29,44.44,50.32,62.12,76.41,93.35,100.53,88.27,112.12,110.91,134.71,136.05,100.81,141.85,232.46,442.34,370.69,621.12,1046.0,1461.14,1806.74,2484.75,4410.76,8217.37,10086.53,13071.72,19749.89,15027.8,16314.44,21357.34,22388.34,21948.83,21765.45,13185.5,11240.81,12200.91,13097.01,11364.13,9893.82,12215.88,13486.79,12116.92,4900.78
Greece,GRC,4335.19,4961.4,5213.04,5895.28,6669.67,7689.15,8591.52,9275.6,10090.67,11615.66,13139.86,14591.75,16885.51,22347.85,25351.31,28525.88,31152.84,36176.23,44270.2,54481.88,56829.66,52346.51,54617.99,49428.87,48020.02,47820.85,56379.59,65652.75,76261.28,79169.04,97891.09,105143.23,116224.67,108809.06,116601.8,136878.37,145861.61,143157.6,144428.17,142588.88,130457.76,136309.3,154564.2,202370.14,240963.56,247875.42,273546.73,318902.83,355908.69,331308.5,297124.96,282995.94,242029.31,238907.69,235458.13,195683.53,193148.15,199844.41,212049.45,205252.76,188480.34,214667.81,217581.32,238206.31,121234.51
Grenada,GRD,,,,,,,,,,,,,,,,,,71.49,88.32,102.24,110.9,115.65,125.44,131.8,145.53,167.73,187.59,215.01,236.36,267.33,278.1,300.76,310.16,309.81,325.11,342.17,366.91,392.19,445.9,482.01,520.04,520.44,540.34,591.02,599.12,695.56,698.7,758.68,825.98,771.28,771.01,778.66,799.88,842.62,911.5,997.01,1061.64,1125.69,1166.51,1213.49,1043.41,1122.8,1224.58,1320.33,562.1
Greenland,GRL,,,,,,,,,,,69.52,88.47,106.1,140.15,169.92,211.19,240.78,282.27,355.99,420.65,476.05,435.75,402.4,416.18,379.37,412.88,603.02,787.39,898.61,929.8,1018.98,1016.5,1037.92,927.21,1005.89,1208.95,1197.52,1072.15,1149.86,1131.56,1068.03,1086.17,1169.14,1558.76,1822.5,1849.8,2013.11,2249.81,2499.09,2529.96,2503.17,2684.46,2609.68,2684.95,2842.07,2499.11,2707.14,2851.61,3055.78,2997.31,3082.88,3235.81,,,1349.87
Guatemala,GTM,1043.6,1076.7,1143.6,1262.8,1299.1,1331.4,1390.7,1453.5,1610.5,1715.4,1904.0,1984.8,2101.3,2569.2,3161.5,3645.9,4365.3,5480.5,6070.6,6902.6,7878.7,8607.5,8717.0,9050.0,9470.0,9721.65,7231.96,7084.4,7841.6,8410.72,7650.2,9406.14,10440.78,11400.02,12983.23,14655.4,15674.84,17790.03,19395.49,18318.41,19288.93,18405.22,20444.21,21576.35,23577.3,26783.39,29744.25,33567.85,38503.72,37126.15,40676.58,46876.01,49593.93,52996.45,57852.15,62186.06,66053.4,71653.75,73328.37,77172.32,77715.18,86053.08,95003.33,102050.47,23460.46
