country_name,medal_count,happiness,wealth,support,health,freedom,generosity,corruption,positivity,negativity,calories_pct,nutrients_pct,good_diet_pct,bad_diet_pct,calories_mills,nutrients_mills,diet_mills,population,gdp_avg
Costa Rica,4,7.095479435390896,9.829854382408989,0.8980492982599471,69.5999993218316,0.9093085063828362,-0.023619446635065173,0.7881429923905267,0.8077077799373202,0.2744642380211088,0.8,8.1,83.8,16.2,0.0,0.4,0.8,4949.955,18805.57
Croatia,52,5.686769515275955,10.205618977546692,0.8357142880558968,68.0762505531311,0.6460582092404366,-0.1400844049203442,0.9175563715398312,0.572560254484415,0.28415009193122387,0.4,3.8,92.8,7.2,0.0,0.2,0.3,4124.531,44121.95
Cuba,235,5.417868614196777,,0.9695951342582704,68.0,0.2814579308032989,,,0.596187174320221,0.2766015231609344,,,,,,,,,39031.78
Cyprus,1,6.097977787256241,10.546002833048503,0.8060445487499237,71.75000047683716,0.7403952814638615,0.032191159141560385,0.8480847924947739,0.6687226817011833,0.3185545336455107,0.0,0.1,99.9,0.1,0.0,0.0,0.0,1179.685,13323.3
Czech Republic,100,,,,,,,,,,0.0,0.2,99.6,0.4,0.0,0.0,0.0,10594.438,
Denmark,205,7.664026419321696,10.89659431245592,0.9549461536937289,70.18777762518988,0.9423715637789832,0.16178280504091694,0.19808083689875067,0.7823510997825198,0.19980489297045598,0.1,0.2,99.8,0.2,0.0,0.0,0.0,5764.98,161727.08
Djibouti,1,4.822564959526062,8.053561091423035,0.7413259545962015,54.359999656677246,0.733235627412796,-0.009414846659637925,0.5815402120351791,0.6376981337865194,0.17763919879992798,5.3,56.9,35.400000000000006,64.6,0.1,0.5,0.6,944.1,1313.37
Dominican Republic,12,5.3173749976687965,9.602047284444174,0.8692938884099325,64.20000012715657,0.8612728549374474,-0.06714332905701463,0.7369294067223867,0.7240963909361098,0.2873212281200621,0.9,13.1,78.8,21.2,0.1,1.4,2.2,10513.111,26814.89
Ecuador,5,5.73787162039015,9.302574263678657,0.8242545359664493,67.1500006781684,0.7736005153920915,-0.11354074254631993,0.7793454560968611,0.7902492748366462,0.323157388303015,4.7,16.0,81.1,18.9,0.8,2.7,3.2,16785.356,35287.84
Egypt,36,4.437847044732836,9.282015800476074,0.7314155532254113,62.346666759914825,0.6359805815360126,-0.151941666708273,0.8024672567844391,0.5035680515898598,0.35188401904371047,,,,,,,,,
Eritrea,1,,,,,,,,,,,,,,,,,,977.77
Spain,174,6.494954003228082,10.54763216442532,0.9373121625847287,71.54333284166124,0.7794002658791013,-0.08111723342581702,0.7825605538156297,0.6564604938030243,0.31654522981908584,0.5,1.1,98.1,1.9,0.2,0.5,0.9,46593.236,623171.73
Estonia,44,5.7766671461217545,10.376311526579016,0.9207303594140446,68.11764661003562,0.8036792067920461,-0.13355739480432338,0.6170428132309633,0.6746662048732534,0.19006821337868182,0.2,0.7,99.0,1.0,0.0,0.0,0.0,1317.384,18485.94
Ethiopia,57,4.301156239076094,7.563000548969615,0.7001318823207509,59.030908757990055,0.7280066501010548,0.09036694706248287,0.7387804448604584,0.5753125710920854,0.2625557698986747,10.3,69.9,11.700000000000003,88.3,10.9,74.4,94.0,106399.926,23806.44
Unified Team,135,,,,,,,,,,,,,,,,,,
Fiji,3,,,,,,,,,,0.3,26.9,48.5,51.5,0.0,0.2,0.5,877.46,1994.08
Finland,475,7.624132037162781,10.761078655719757,0.9517608657479286,70.44250059127808,0.9425844997167587,0.0013909424233134056,0.23770636599510905,0.7375889867544174,0.18515198864042756,0.1,0.1,99.9,0.1,0.0,0.0,0.0,5508.214,125374.08
France,880,6.6595971054501,10.681800736321343,0.9162941541936662,71.63888888888889,0.8281412058406405,-0.09292861687786436,0.6196225881576538,0.7071686188379923,0.2527531633774439,0.0,0.0,99.9,0.1,0.0,0.0,0.0,66918.02,1332030.59
Germany,238,6.82240989473131,10.824794345431858,0.9190114272965325,70.44888899061415,0.8582386871178945,0.0804151134798303,0.5585565004083846,0.6983332071039412,0.20608754621611697,0.0,0.2,99.8,0.2,0.0,0.2,0.2,82657.002,1857701.61
Gabon,1,4.624921560287476,9.571502098670372,0.7543477920385507,56.84615384615385,0.6733913192382226,-0.19449328917723432,0.8171333074569702,0.5925057071905869,0.36968504924040574,2.4,23.3,64.0,36.0,0.1,0.5,0.7,2064.812,6811.62
Great Britain,940,6.889592144224379,10.695583078596327,0.9324369066291385,69.7466663784451,0.851001994477378,0.3004986950579811,0.4767349279589123,0.729170517788993,0.23112888054715264,0.1,0.4,99.5,0.5,0.1,0.3,0.3,66058.859,1345386.44
Germany,519,6.82240989473131,10.824794345431858,0.9190114272965325,70.44888899061415,0.8582386871178945,0.0804151134798303,0.5585565004083846,0.6983332071039412,0.20608754621611697,0.0,0.2,99.8,0.2,0.0,0.2,0.2,82657.002,1857701.61
Georgia,40,4.432478653060065,9.403472847408718,0.605309373802609,64.19999843173557,0.6838244729571872,-0.2530785045690006,0.5612397574716144,0.4547311266263326,0.23917719721794123,,,,,,,,,9691.5
Germany,1032,6.82240989473131,10.824794345431858,0.9190114272965325,70.44888899061415,0.8582386871178945,0.0804151134798303,0.5585565004083846,0.6983332071039412,0.20608754621611697,0.0,0.2,99.8,0.2,0.0,0.2,0.2,82657.002,1857701.61
Ghana,5,4.730777608023749,8.398836612701416,0.6813880337609185,56.15000004238553,0.7996651397811042,0.07149508593041293,0.8672599626912011,0.6675031615628136,0.23620073000590003,7.7,43.2,35.599999999999994,64.4,2.2,12.6,18.8,29121.464,17735.24
Greece,119,5.617615615620332,10.325294719022864,0.8168357926256516,70.48117738611558,0.5207396430127761,-0.27628622297197575,0.8757874930606169,0.5885506202192867,0.30213963985443115,0.5,2.9,95.7,4.3,0.1,0.3,0.5,10754.679,121234.51
Grenada,3,,,,,,,,,,,,,,,,,110.874,562.1
Guatemala,1,6.25726792216301,8.977795898914337,0.8229472041130066,61.02499985694885,0.8000985011458397,0.05018888566701206,0.7991197966039181,0.8138375319540501,0.2859910996630788,,,,,,,,,23460.46
Guyana,1,5.992826461791992,9.088530540466309,0.8487651944160461,56.2400016784668,0.6940056681632996,0.0820125043392181,0.8355690836906433,0.7606330513954163,0.2964197695255279,4.6,34.2,52.2,47.8,0.0,0.3,0.4,775.218,1877.77
Haiti,2,3.9541936354203657,8.034673127261074,0.6161958521062677,39.77090891924772,0.4617644792253321,0.2603760497136549,0.7520326430147345,0.558162426406687,0.3130265338854356,21.5,70.8,17.299999999999997,82.7,2.4,7.8,9.1,10982.367,5550.89
"Hong Kong, China",9,,,,,,,,,,,,,,,,,,
Hungary,518,5.432293387020335,10.249065791859346,0.9107857521842507,66.55058871998506,0.6396646043833565,-0.13344532086921387,0.8946695222574121,0.6166276791516472,0.23932441806091975,0.3,1.7,96.7,3.3,0.0,0.2,0.3,9787.966,70499.5
Indonesia,37,5.262687153286404,9.181715117560493,0.7940570844544305,61.999999576144745,0.7947614755895402,0.4259396774901284,0.9181278215514289,0.7617262833648257,0.2702976903981632,3.4,47.0,29.299999999999997,70.7,9.0,124.3,187.2,264650.969,353147.74
India,35,4.4033898380067615,8.547710683610704,0.6061875224113464,58.80000029669868,0.8072773185041215,0.026798450826283758,0.8179973496331109,0.5973462478982078,0.3256366666820314,2.1,57.3,25.099999999999994,74.9,28.8,766.6,1002.5,1338676.779,785131.88
Russia,5,5.564872662226359,10.148258103264702,0.8971390889750587,62.349999321831596,0.6797094378206465,-0.19354284078710607,0.8834934466414981,0.5903804467784034,0.1805094612969292,0.0,1.0,96.0,4.0,0.0,1.4,5.7,144496.739,1062108.61
Iran,76,4.875571250915527,9.590507447719574,0.685560330748558,65.73124980926514,0.6718419976532459,0.15830303063350062,0.7252070978283882,0.5368089191615582,0.45774747617542744,,,,,,,,,
Ireland,35,7.027221062604119,11.174575412974638,0.9480521749047672,70.6505885404699,0.8905958217733047,0.21844305011258897,0.44770753383636475,0.7527527703958399,0.2204317292746375,0.2,0.3,99.7,0.3,0.0,0.0,0.0,4807.388,123625.16
Iraq,1,4.774595514933268,9.109162521362304,0.7454546650250753,61.85066655476888,0.5463875425713403,-0.03822803053772075,0.8192519148190817,0.5184559800795147,0.5069504896799724,1.7,30.1,46.7,53.3,0.6,11.3,20.0,37552.789,70166.73
Iceland,4,7.467970934781161,10.882742534984242,0.9785522493449125,71.86590853604403,0.9299384301359003,0.2535984590649604,0.6964715177362616,0.8053322651169517,0.16581333089958533,0.0,0.0,,0.0,0.0,0.0,0.0,343.4,8909.1
Israel,13,7.238861004511516,10.534233199225532,0.9096498688062032,71.90000025431316,0.7356419232156541,0.1035994569880559,0.8099714252683852,0.6066114041540358,0.30845734973748523,0.2,1.2,98.3,1.7,0.0,0.1,0.2,8713.3,127647.69
"Virgin Islands, US",1,,,,,,,,,,,,,,,,,,
Italy,756,6.291671064164904,10.650400956471762,0.892911970615387,71.4944445292155,0.6527395513322618,-0.02144647006164577,0.8948269751336839,0.6268476479583316,0.3161107806695832,1.0,2.1,97.1,2.9,0.6,1.3,1.7,60536.709,1055383.88
Jamaica,85,5.767740567525228,9.195678075154623,0.8765165938271416,66.5999984741211,0.8174519406424628,-0.08120655268430704,0.8937652044826083,0.7178048955069648,0.2602663305070665,1.5,45.6,35.3,64.7,0.0,1.3,1.9,2920.848,6980.79
Jordan,3,5.044172128041585,9.251494036780464,0.8150966597927941,67.13999854193793,0.7460359334945679,-0.127720801926711,0.6862373096602303,0.5674084808145251,0.3291331470012665,0.0,0.6,84.2,15.8,0.0,0.1,1.6,9785.84,14070.73
Japan,569,6.023526589075725,10.59331883324517,0.898975498146481,73.54333284166124,0.8019191324710846,-0.17977402056567368,0.6865877674685584,0.6934473911921183,0.18147941264841286,1.2,1.2,97.5,2.5,1.5,1.5,3.2,126785.797,2938993.71
Kazakhstan,80,5.869883457819621,10.049691889021132,0.9020068976614211,62.69999970330132,0.8126382794645097,-0.11863425223337895,0.7932802571190728,0.6397600769996643,0.15519715845584867,0.0,0.3,98.5,1.5,0.0,0.1,0.3,18037.776,104885.97
Kenya,112,4.414017902480231,8.324215941958958,0.7660183840327792,55.59999995761447,0.7180454234282175,0.16500793180118004,0.8595801856782701,0.72228475411733,0.2117050807509157,18.0,66.6,16.5,83.5,9.0,33.4,41.9,50221.146,24500.97
Kyrgyzstan,7,5.260519663492839,8.432552655537924,0.8785671558645036,63.69999970330132,0.8076253036657969,0.042105013633974724,0.9012939896848466,0.6137775878111521,0.17233177564210356,,,,,,,,,
South Korea,365,5.90543876753913,10.545406341552734,0.7942604819933573,71.99999957614475,0.6501611967881521,-0.0498434421537882,0.7848272489176856,0.5811566445562575,0.227758027613163,,,,,,,,,
Kosovo,3,5.829554501701804,9.164254903793335,0.8020479188245886,,0.6897125337272882,0.16195734213397367,0.8956504499211031,0.601607191212037,0.17059274587561096,,,,,,,,,7169.88
Saudi Arabia,4,6.5474033620622425,10.731875737508139,0.8660353521505991,63.088888804117836,0.7333058993021647,-0.08845066596233446,0.4860665500164032,0.6882211301061842,0.260881471965048,,,,,,,,33101.183,269148.84
Kuwait,3,6.376867147592398,10.938295951256386,0.8748739262421926,69.69615408090445,0.8353546609481176,-0.013569902236617451,0.5124538019299507,0.7046651790539423,0.23371275452276066,,,,,,,,4056.102,54181.4
Latvia,31,5.569637298583984,10.204665184020996,0.8863155876888948,65.30588239781997,0.6737025993711808,-0.11308941149207596,0.8561135320102468,0.5983891241690692,0.22030489935594444,0.2,1.7,96.6,3.4,0.0,0.0,0.1,1942.248,23121.8
Lebanon,4,4.471918914053175,9.695138189527723,0.7251206636428833,65.6933330959744,0.5925231327613195,-0.03128135454265728,0.9057781398296356,0.4388531711366441,0.3575659758514828,,,,,,,,,25351.77
Liechtenstein,10,,,,,,,,,,,,,,,,,,2814.47
Lithuania,26,5.991295443640815,10.325971868303087,0.9216083553102281,65.50000021192763,0.6325111505058076,-0.23734336511956317,0.8938230607244704,0.5453308555814955,0.2456092105971442,0.8,1.6,96.4,3.6,0.0,0.0,0.1,2828.403,35904.81
Luxembourg,5,7.058734050163856,11.643437899076021,0.9140609273543725,71.2250002347506,0.9085397949585547,0.034363716984024385,0.3721540639033684,0.7190121962473943,0.20252113158886245,0.1,0.4,99.6,0.4,0.0,0.0,0.0,596.336,25419.95
Morocco,24,4.9697693311251125,8.943577913137583,0.601470006008943,63.404615255502556,0.7415560713181129,-0.21767175656098584,0.8188407466961787,0.5936846832434336,0.3125203537444273,0.1,7.1,81.1,18.9,0.0,2.5,6.7,35581.257,47895.24
Malaysia,13,5.842859447002411,10.046948492527008,0.8193935938179493,65.52343797683716,0.8459004685282707,0.1223810298251919,0.8116105124354362,0.7307587824761868,0.21266261301934716,0.0,0.8,97.4,2.6,0.0,0.2,0.8,31104.655,114323.35
Republic of Moldova,6,,,,,,,,,,,,,,,,,,
Mexico,71,6.694650755988227,9.852463563283285,0.8323832054932913,65.44222344292535,0.7918193803893195,-0.1247998839792083,0.7401291893588172,0.7641598516040378,0.23474372509453026,0.8,18.6,73.9,26.1,1.0,23.2,32.6,124777.326,539094.59
Mongolia,30,5.177664399147034,9.239159643650055,0.9280365221202374,59.33750009536743,0.6945697385817766,0.12906211777590212,0.8941243626177311,0.5410878639668226,0.1893688682466745,0.1,12.7,44.7,55.3,0.0,0.4,1.7,3113.788,5777.62
MIX,23,,,,,,,,,,,,,,,,,,
North Macedonia,2,4.999906837940216,9.618756830692291,0.8020266219973564,65.60500049591064,0.665033757686615,0.015692451503127806,0.8796367198228836,0.5291555114090443,0.31671848706901073,2.6,17.7,78.2,21.8,0.1,0.4,0.5,2074.502,7826.5
Montenegro,1,5.364434782663981,9.831102752685547,0.8241625189781189,66.64533335367838,0.6073629359404246,-0.10049918641646699,0.7811278502146403,0.5180044074853262,0.3613266368707021,1.6,9.5,82.6,17.4,0.0,0.1,0.1,622.373,3719.05
Mozambique,2,4.826395468278364,7.048161203211004,0.736407919363542,48.758181832053445,0.7702209028330717,0.03525845730804244,0.7159016294912859,0.6041351610963995,0.330282837152481,13.3,83.5,8.700000000000003,91.3,3.8,23.9,26.2,28649.007,10367.47
Mauritius,1,5.849597024917602,9.976085567474366,0.8686935544013977,63.85,0.840375417470932,0.03245726667810232,0.8123712956905365,0.6981094360351563,0.17988815307617184,0.0,6.0,85.2,14.8,0.0,0.1,0.2,1264.613,4751.99
Namibia,5,4.679698361290826,9.176796489291721,0.8151061998473274,55.71833207872178,0.7349323365423415,-0.15046198334958816,0.8385349909464518,0.6817184156841702,0.23549811045328772,13.4,32.4,45.6,54.4,0.3,0.8,1.3,2402.623,6644.13
Netherlands,466,7.44039255030015,10.897108526790843,0.9312856583034291,71.16470561308019,0.8986393809318542,0.2644154736772179,0.4169566175516914,0.7294300163493437,0.21069642550805032,0.0,0.3,99.6,0.4,0.0,0.0,0.1,17131.296,411682.28
Nigeria,27,4.983039170503616,8.490657389163971,0.7582187168300152,53.03125,0.6886726841330528,0.07543130067642774,0.8969631046056747,0.7344236522912979,0.23266134969890112,55.3,78.1,5.900000000000006,94.1,105.6,149.0,179.7,190873.247,160300.71
Niger,2,4.2917938977479935,7.001043885946274,0.6808551363646984,53.40937519073486,0.7501587308943272,-0.022442054789280495,0.6870909015337626,0.7026924937963486,0.25334683014079923,9.9,72.5,8.900000000000006,91.1,2.1,15.7,19.7,21602.388,4278.75
Norway,566,7.46388578414917,11.074347936190092,0.9484365123968858,71.03076934814453,0.9505214874561017,0.14231937801322106,0.32795482071546406,0.7819829399769123,0.2039215553265351,0.3,0.5,99.5,0.5,0.0,0.0,0.0,5276.968,186487.61
New Zealand,143,7.260700197780833,10.617803293115953,0.9516799870659324,70.01294124827666,0.9141942262649536,0.23943634550361068,0.268390483715955,0.777694937060861,0.20249727017739239,,,,,,,,4813.6,76140.29
Olympic Athletes from Russia,17,,,,,,,,,,,,,,,,,,
Pakistan,10,5.110247214635213,8.424343903859457,0.5707642171117995,55.68555556403266,0.5652634369002448,0.08119167679893396,0.8059354954295688,0.49831342346527996,0.3381052745713128,0.2,38.4,20.299999999999997,79.7,0.4,79.9,165.7,207906.21,104186.61
Panama,3,6.626323167015524,10.198065926046933,0.9017657707719242,68.05882352941177,0.8211814761161804,-0.06047942459083379,0.8579662862946006,0.8218077736742356,0.21401727287208328,2.7,14.7,78.9,21.1,0.1,0.6,0.9,4106.764,18051.76
Paraguay,1,5.6292445799883675,9.398652581607594,0.9050401203772601,65.48529366885914,0.7981803382144255,0.03830611626343691,0.8332138797816109,0.8184826338992399,0.22959809268222134,0.5,24.8,79.9,20.1,0.0,1.7,1.4,6867.058,12520.15
Peru,4,5.601964553197225,9.31326421101888,0.8009629117117988,68.5,0.7490061157279544,-0.10791844005386031,0.885636031627655,0.7478377388583289,0.37152166167895,2.2,14.5,76.3,23.7,0.7,4.6,7.5,31444.299,102416.78
Philippines,14,5.354001098208958,8.84571811887953,0.8125898804929521,61.79999987284342,0.9004626870155334,-0.03044080641120671,0.7764747805065579,0.787902726067437,0.3372791234184713,7.5,54.2,29.0,71.0,7.9,57.1,74.6,105172.921,110940.8
Poland,321,6.020196606131161,10.234047497020049,0.9106701507287867,67.95764653822955,0.8131467524696799,-0.09090150932024696,0.8172530251390794,0.6446964986184064,0.22754967475638666,0.0,0.1,99.0,1.0,0.0,0.0,0.4,37974.826,362824.17
Portugal,28,5.551684856414795,10.38826596736908,0.879205483943224,70.31624984741211,0.836982823908329,-0.18230752553790805,0.9143640175461769,0.6490079388022423,0.3227386996150017,0.1,0.7,98.9,1.1,0.0,0.1,0.1,10300.3,107131.81
North Korea,57,,,,,,,,,,,,,,,,,,
Puerto Rico,10,,,,,,,,,,,,,,,,,,47028.48
Qatar,8,6.5689818382263185,11.551987457275391,0.8633251190185547,65.17599945068359,0.8980043331782023,0.11853212615096703,0.1837981343269348,0.672105630238851,0.30268528064092,,,,,,,,2724.727,55933.87
Russia,103,5.564872662226359,10.148258103264702,0.8971390889750587,62.349999321831596,0.6797094378206465,-0.19354284078710607,0.8834934466414981,0.5903804467784034,0.1805094612969292,0.0,1.0,96.0,4.0,0.0,1.4,5.7,144496.739,1062108.61
Romania,307,5.770219578462489,10.115109163172106,0.7956225311054903,66.15176705753102,0.7605313763898962,-0.1626980900764465,0.9460930824279785,0.5921483811210183,0.2897063257063136,0.9,7.9,88.1,11.9,0.2,1.6,2.3,19588.715,126545.07
South Africa,89,4.963938938246833,9.516271750132242,0.8701235486401452,52.90000004238553,0.7408601840337118,-0.12416005786508319,0.8506881103796118,0.7209332485993704,0.22525894352131415,24.0,60.1,34.8,65.2,13.7,34.3,37.2,57009.751,169559.68
Russia,553,5.564872662226359,10.148258103264702,0.8971390889750587,62.349999321831596,0.6797094378206465,-0.19354284078710607,0.8834934466414981,0.5903804467784034,0.1805094612969292,0.0,1.0,96.0,4.0,0.0,1.4,5.7,144496.739,1062108.61
Samoa,1,,,,,,,,,,,,,,,,,,370.41
Serbia and Montenegro,9,,,,,,,,,,,,,,,,,,
Senegal,1,4.546945267253452,8.03158031569587,0.725133972035514,58.04999987284342,0.7037113176451789,-0.04706135340448879,0.8272260924180349,0.7367767526043786,0.23127502202987665,3.2,42.3,47.0,53.0,0.5,6.5,8.2,15419.354,8817.92
Singapore,5,6.508073657751083,11.365019989013671,0.8810256011784077,72.92125082015991,0.8484310805797577,0.06404504726330439,0.1050358970782586,0.6506138257682323,0.1677324003539979,,,,,,,,5612.253,113448.79
Slovenia,52,6.182973563671112,10.485221207141876,0.9302297942340374,70.09374952316284,0.9122653715312481,-0.012473569688154388,0.8258888758718967,0.6056950949132442,0.27718502189964056,0.0,0.0,99.9,0.1,0.0,0.0,0.0,2066.388,37655.95
San Marino,3,,,,,,,,,,,,,,,,,,1635.4
Serbia,24,5.463754028081894,9.71402394771576,0.8392278105020523,66.42750072479248,0.6170778106898069,-0.04457892640493809,0.879424761980772,0.49747689068317413,0.3319408316165208,3.2,15.2,71.0,29.0,0.2,1.1,2.0,7020.858,36801.93
Sri Lanka,2,4.263359392390532,9.297134006724638,0.8262074274175307,65.5352944766774,0.8021640847711002,0.13345535789780755,0.8283990831936107,0.721293288118699,0.24017323816523828,0.4,19.4,47.7,52.3,0.1,4.2,11.2,21444.0,25338.77
Sudan,1,4.37874116897583,8.475512313842774,0.8414266586303711,57.987999725341794,0.5485432922840119,-0.04630250558257102,0.7256220698356628,0.5562903463840485,0.2518632024526596,12.7,54.4,13.700000000000003,86.3,5.2,22.2,35.2,40813.398,21197.29
Switzerland,369,7.435586855961726,11.125057147099422,0.9350025332891024,72.16615354097806,0.9150725694803091,0.09582874794992112,0.2944102413379229,0.7523140081992516,0.1883774032959571,0.0,0.0,,0.0,0.0,0.0,0.0,8451.84,305620.08
Suriname,2,6.269286632537842,9.873830795288086,0.7972620725631714,62.84000015258789,0.8854884505271912,-0.0884169191122055,0.7512828707695007,0.7301676869392395,0.2503649890422821,17.9,40.9,42.4,57.6,0.1,0.2,0.3,570.501,1561.93
Slovakia,42,6.10245532989502,10.271837107340495,0.9343578219413757,67.78800048828126,0.6851637323697408,-0.08233143249526619,0.9038607835769653,0.6444340427716573,0.2633621682723363,,,,,,,,,
Sweden,663,7.365232149759929,10.822530799441868,0.9291890892717574,71.5477786593967,0.9312602480252584,0.15014868799377884,0.25512007229468403,0.7603969011041853,0.1808125724395116,0.2,0.3,99.5,0.5,0.0,0.0,0.1,10057.698,260364.8
Syrian Arab Republic,4,,,,,,,,,,,,,,,,,,15921.29
United Republic of Tanzania,2,,,,,,,,,,,,,,,,,,
Czech Republic,166,,,,,,,,,,0.0,0.2,99.6,0.4,0.0,0.0,0.0,10594.438,
Tonga,1,,,,,,,,,,,,,,,,,,231.03
Thailand,35,6.068811655044556,9.652509954240587,0.8873558011319902,67.69999906751845,0.8778514795833163,0.36591952708032394,0.9078479905923208,0.787548883093728,0.19389850894610083,0.0,5.6,82.5,17.5,0.0,3.9,12.1,69209.817,159216.23
Tajikistan,4,4.995593733257717,7.977292325761583,0.7834931545787387,61.44999991522895,0.7764158397912979,-0.02157555954181587,0.6422282059987386,0.5906473646561304,0.2077673632237646,1.7,26.5,57.1,42.9,0.2,2.3,3.8,8880.27,4638.32
Turkmenistan,1,5.60049991607666,9.366500854492188,0.9352402567863465,61.28800010681152,0.7767917290329933,0.0431630973005667,,0.5720520257949829,0.19826217964291568,,,,,,,,,19117.82
