country_name,medal_count,happiness,wealth,support,health,freedom,generosity,corruption,positivity,negativity,calories_pct,nutrients_pct,good_diet_pct,bad_diet_pct,calories_mills,nutrients_mills,diet_mills,population,gdp_avg
Afghanistan,2,3.219916812578837,7.58562447474553,0.47665429214636484,52.711666615804035,0.4804749608039856,0.05632526857348586,0.8358241081237793,0.4218036969502767,0.3708398868640264,,,,,,,,,13093.44
Netherlands Antilles,1,,,,,,,,,,,,,,,,,,
Algeria,17,5.391879992051558,9.33823637528853,0.811683303117752,66.13636294278231,0.5207114948166741,-0.13254291465919876,0.6880522436565824,0.5404482156038284,0.2662448450922966,0.2,7.2,64.8,35.2,0.1,3.0,14.6,41389.174,79710.57
Australasia,12,,,,,,,,,,,,,,,,,,
Argentina,77,6.289721833335029,10.028808169894749,0.9018942879305946,66.7000003390842,0.7777863707807329,-0.15320262069710422,0.8390189574824439,0.7379951940642463,0.28838192009263564,0.3,7.1,89.0,11.0,0.1,3.1,4.8,44044.811,317986.22
Armenia,18,4.679549020879409,9.339652061462402,0.7325431003290064,65.86617660522461,0.6057185320293202,-0.19837707631728224,0.8200909109676585,0.5024486552266514,0.4428196654600255,0.6,16.8,59.1,40.9,0.0,0.5,1.2,2944.789,7407.48
Australia,566,7.242306877585018,10.76497745513916,0.9423191898009357,70.57058805577896,0.914413192692925,0.2541066710837185,0.42919921875,0.7375759517445284,0.21866088053759403,0.2,0.5,99.3,0.7,0.1,0.1,0.2,24601.86,521918.13
Austria,342,7.178953051567078,10.889285147190094,0.9186556823551655,70.48750066757202,0.8940614610910416,0.13288367242785168,0.5604319199919701,0.7158412151038647,0.19015231449156994,0.2,0.5,99.4,0.6,0.0,0.0,0.1,8797.566,197169.69
Azerbaijan,50,4.935250997543335,9.527749359607697,0.7604876756668091,62.50781178474426,0.6811534967273474,-0.15828803041949865,0.6937314346432686,0.5182470045983791,0.24079057853668925,0.0,0.0,,0.0,0.0,0.0,0.0,9854.033,30686.34
Bahamas,16,,,,,,,,,,,,,,,,,,
Barbados,1,,,,,,,,,,,,,,,,,286.229,2348.09
Burundi,2,3.548124170303345,6.682296085357666,0.41765194535255434,52.008000183105466,0.45101436972618103,-0.03857026956975455,0.7322702527046203,0.5701992511749268,0.2441240966320038,56.1,89.6,2.5,97.5,6.1,9.7,10.6,10827.01,1170.61
Belgium,164,6.966089108411004,10.81280870998607,0.918458458255319,69.94117602180032,0.8548171485171598,-0.011822937805845889,0.5997305863043841,0.7157083329032449,0.24234131767469289,0.1,0.3,99.7,0.3,0.0,0.0,0.0,11375.158,242886.71
Bermuda,2,,,,,,,,,,,,,,,,,63.873,2832.73
Belarus,105,5.571155479976109,9.762315682002477,0.906550577708653,63.46071434020996,0.6620024229798999,-0.17489888465830256,0.6711719674723489,0.520058294901481,0.21795100292989183,0.0,0.1,99.2,0.8,0.0,0.0,0.1,9458.989,41079.89
Bohemia,4,,,,,,,,,,,,,,,,,,
Botswana,2,3.908860445022583,9.56041179384504,0.8117831562246595,52.316785539899556,0.8096704355307988,-0.19704789774758472,0.7879115087645394,0.653825159583773,0.23567315297467364,1.4,45.1,36.2,63.8,0.0,1.0,1.4,2205.076,5823.2
Brazil,150,6.562904993693034,9.589614444308811,0.8862794637680054,64.64111095004611,0.8012560407320658,-0.06850707624107594,0.7253311839368608,0.7052288353443146,0.3126722350716591,3.2,16.9,81.7,18.3,6.6,35.2,38.1,207833.825,1285608.85
Bahrain,4,5.998168865839641,10.784244378407797,0.8744005560874939,65.65500005086263,0.8621121103113348,0.06463975769778091,0.553173017501831,0.6709400090304288,0.3519439453428442,,,,,,,,1494.077,14089.99
Bulgaria,230,4.75197958946228,9.961129824320475,0.8948670705159505,65.92533315022787,0.6880939563115438,-0.14209830698867637,0.9389436443646749,0.5516846418380738,0.21867833137512205,0.4,6.4,88.7,11.3,0.0,0.5,0.8,7075.947,35563.0
Burkina Faso,1,4.2453271597623825,7.52449506521225,0.7197368927299976,53.00718832015991,0.6620287001132965,-0.011362754710717113,0.7565999589860439,0.5969319753348827,0.3106128992512822,7.5,79.0,14.900000000000006,85.1,1.4,15.2,16.3,19193.236,5154.3
Canada,548,7.2968537542555065,10.756210698021782,0.932602114537183,71.0466668870714,0.916866401831309,0.21002785033649862,0.4200057999955283,0.7783538268672096,0.25726401309172314,0.0,0.5,99.3,0.7,0.0,0.2,0.3,36545.295,755211.83
Chile,13,6.357283724678887,10.051550017462837,0.8549624747700162,69.25,0.7409003542529212,0.06351509928289387,0.7807030777136484,0.7563085092438592,0.29878297117021346,0.2,1.2,96.6,3.4,0.0,0.2,0.6,18470.435,94857.75
China,710,5.160454525667078,9.340597152709961,0.789619084666757,67.52500017951516,0.8438132256269455,-0.15476444980595258,,0.691941170131459,0.17075442873379762,0.2,8.0,85.7,14.3,2.3,111.7,199.3,1396215.0,3291242.38
Côte d'Ivoire,4,,,,,,,,,,,,,,,,,,
Cameroon,6,4.66423777739207,8.166602823469374,0.7087672617700365,52.04999987284342,0.7300796475675371,-0.020151069258443163,0.8742038607597351,0.6124277777141995,0.3122152222527398,16.8,50.7,39.1,60.9,4.1,12.5,15.0,24566.07,14841.01
Colombia,34,6.15629604127672,9.496619701385498,0.8785727719465891,68.1000001695421,0.8118426766660478,-0.09241686290543934,0.8488373325930701,0.783559199836519,0.2989225536584854,3.5,20.3,75.3,24.7,1.7,9.9,12.1,48909.844,116405.94
