country_name,happiness,wealth,support,health,freedom,generosity,corruption,positivity,negativity
Afghanistan,3.219916812578837,7.58562447474553,0.47665429214636484,52.711666615804035,0.4804749608039856,0.05632526857348586,0.8358241081237793,0.4218036969502767,0.3708398868640264
Albania,5.072808146476746,9.416875123977661,0.7143020145595074,68.54875040054321,0.6948773078620434,-0.06828024932474361,0.8686711601912975,0.5598571877926588,0.2945723086595535
Algeria,5.391879992051558,9.33823637528853,0.811683303117752,66.13636294278231,0.5207114948166741,-0.13254291465919876,0.6880522436565824,0.5404482156038284,0.2662448450922966
Angola,4.420298874378204,8.985546588897705,0.7379733622074127,52.15000057220459,0.45595669746398926,-0.09321762062609196,0.8670179843902588,0.6257342249155045,0.3511730879545212
Argentina,6.289721833335029,10.028808169894749,0.9018942879305946,66.7000003390842,0.7777863707807329,-0.15320262069710422,0.8390189574824439,0.7379951940642463,0.28838192009263564
Armenia,4.679549020879409,9.339652061462402,0.7325431003290064,65.86617660522461,0.6057185320293202,-0.19837707631728224,0.8200909109676585,0.5024486552266514,0.4428196654600255
Australia,7.242306877585018,10.76497745513916,0.9423191898009357,70.57058805577896,0.914413192692925,0.2541066710837185,0.42919921875,0.7375759517445284,0.21866088053759403
Austria,7.178953051567078,10.889285147190094,0.9186556823551655,70.48750066757202,0.8940614610910416,0.13288367242785168,0.5604319199919701,0.7158412151038647,0.19015231449156994
Azerbaijan,4.935250997543335,9.527749359607697,0.7604876756668091,62.50781178474426,0.6811534967273474,-0.15828803041949865,0.6937314346432686,0.5182470045983791,0.24079057853668925
Bahrain,5.998168865839641,10.784244378407797,0.8744005560874939,65.65500005086263,0.8621121103113348,0.06463975769778091,0.553173017501831,0.6709400090304288,0.3519439453428442
Bangladesh,4.609048207600911,8.360579676098293,0.5802678598297967,62.75000105963813,0.7743470900588565,-0.038284789667361284,0.7365935842196146,0.4775472458671121,0.2968906602925724
Belarus,5.571155479976109,9.762315682002477,0.906550577708653,63.46071434020996,0.6620024229798999,-0.17489888465830256,0.6711719674723489,0.520058294901481,0.21795100292989183
Belgium,6.966089108411004,10.81280870998607,0.918458458255319,69.94117602180032,0.8548171485171598,-0.011822937805845889,0.5997305863043841,0.7157083329032449,0.24234131767469289
Belize,6.203145503997803,9.163445949554443,0.8145995736122131,64.6500015258789,0.7894375026226044,0.002153750276193,0.7755449116230011,0.7332836389541626,0.26610006392002106
Benin,4.113816595077514,7.991427739461263,0.46169354518254596,54.56933314005534,0.7413765072822571,-0.05736518393387082,0.7453734199206035,0.5818606019020081,0.35720695157845817
Bhutan,5.19659948348999,9.14602788289388,0.8489551146825155,62.41999944051107,0.824841837088267,0.29544372359911597,0.6955741246541342,0.720515787601471,0.2843456914027532
Bolivia,5.742096424102783,8.898917569054497,0.8057126402854919,62.5,0.8310080369313558,-0.0572555407416075,0.8244345519277785,0.722494728035397,0.39637784163157147
Bosnia and Herzegovina,5.319273799657822,9.460818767547607,0.798321757465601,67.11250019073486,0.5510579328984022,0.07814941162359901,0.9422933720052242,0.5349507927894592,0.30487042386084795
Botswana,3.908860445022583,9.56041179384504,0.8117831562246595,52.316785539899556,0.8096704355307988,-0.19704789774758472,0.7879115087645394,0.653825159583773,0.23567315297467364
Brazil,6.562904993693034,9.589614444308811,0.8862794637680054,64.64111095004611,0.8012560407320658,-0.06850707624107594,0.7253311839368608,0.7052288353443146,0.3126722350716591
Bulgaria,4.75197958946228,9.961129824320475,0.8948670705159505,65.92533315022787,0.6880939563115438,-0.14209830698867637,0.9389436443646749,0.5516846418380738,0.21867833137512205
Burkina Faso,4.2453271597623825,7.52449506521225,0.7197368927299976,53.00718832015991,0.6620287001132965,-0.011362754710717113,0.7565999589860439,0.5969319753348827,0.3106128992512822
Burundi,3.548124170303345,6.682296085357666,0.41765194535255434,52.008000183105466,0.45101436972618103,-0.03857026956975455,0.7322702527046203,0.5701992511749268,0.2441240966320038
Cambodia,4.266079094674852,8.13595085673862,0.7233196563190885,60.25,0.9411504899754244,0.14521011148786378,0.8504629380562726,0.6977823749184608,0.37561524990532136
Cameroon,4.66423777739207,8.166602823469374,0.7087672617700365,52.04999987284342,0.7300796475675371,-0.020151069258443163,0.8742038607597351,0.6124277777141995,0.3122152222527398
Canada,7.2968537542555065,10.756210698021782,0.932602114537183,71.0466668870714,0.916866401831309,0.21002785033649862,0.4200057999955283,0.7783538268672096,0.25726401309172314
Central African Republic,3.5149543285369873,6.894668769836426,0.40255900025367736,43.373999786376956,0.6804297089576721,0.026815566048026103,0.8421291232109069,0.5399415552616119,0.3914968132972717
Chad,4.098377704620361,7.3999316692352295,0.6666525639593601,50.01718759536743,0.5161933936178684,0.025140550511423488,0.8592050410807133,0.5560190957039595,0.36394686158746475
Chile,6.357283724678887,10.051550017462837,0.8549624747700162,69.25,0.7409003542529212,0.06351509928289387,0.7807030777136484,0.7563085092438592,0.29878297117021346
China,5.160454525667078,9.340597152709961,0.789619084666757,67.52500017951516,0.8438132256269455,-0.15476444980595258,,0.691941170131459,0.17075442873379762
Colombia,6.15629604127672,9.496619701385498,0.8785727719465891,68.1000001695421,0.8118426766660478,-0.09241686290543934,0.8488373325930701,0.783559199836519,0.2989225536584854
Comoros,3.849630057811737,8.058803677558899,0.6249430850148201,58.141249656677246,0.5126805156469345,-0.021320832922356203,0.7442804202437401,0.6274576410651207,0.27003942243754864
Congo (Brazzaville),4.672528028488159,8.329533304486956,0.6221246293612889,55.274285725184846,0.7234312679086413,-0.0898947046537484,0.7716127863297095,0.5782471512045179,0.36712336114474703
